"issue","date","outlet","language","origin","reported by","keywords","source","title","summary","disproof","metatags","metatags_content"
"82","10/03/17","TV Zvezda","Russian","Ukraine","Promote Ukraine NGO","TV Zvezda, Military","https://tvzvezda.ru/news/vstrane_i_mire/content/201710030853-nx7c.htm","Explosions in Vinnitsa were organized by Ukrainian soldiers","The recent explosions in the munitions depot in Vinnitsa were organized by the Ukrainian soldiers themselves to cover up their traces. They have stolen a lot of weapons and try to escape responsibility in the face of the audit which might take place soon.","TV Zvezda is a regular mouthpiece for pro-Kremlin disinformation https://euvsdisinfo.eu/dependent-media-russias-military-tv-zvezda/. Vladislav Seleznev, a spokesman for the Ukrainian general staff, stated that the military were investigating various possible causes of the fire. The SBU, the Ukrainian security service, said it suspected the fire was an act of sabotage. http://www.telegraph.co.uk/news/2017/09/27/fire-ukraine-ammunition-depot-prompts-mass-evacuation/","",""
"82","10/02/17","Facebook page of Socialist deputy, Bogdan Tirdea","Moldova","Spain","BDR Associates","Catalonia, Referendum","https://www.facebook.com/bogdan.tirdea.9","EU officials supported the violence in Catalonia","The referendum for independence held in Catalonia on October 1, 2017, where citizens were shot right at the entrance to polling stations, in the context of a complete silence of EU officials, demonstrates that Article 2 from EU treaty about democracy and human rights is only “chatter”. If the EU bureaucracy keep silent about the violence in Catalonia, it means they support it.","The European Commission issued a statement on the events in Catalonia where EC states that the vote in Catalonia was not in line with the Spanish constitution, but underlines that ""Violence can never be an instrument in politics"". 
http://europa.eu/rapid/press-release_STATEMENT-17-3626_en.htm","",""
"82","09/29/17","Vremya pokazhet @Pervyi kanal, 21:55","Russian","Turkey, US","Pavel Spirin, former journalist","Recep Tayyip Erdoğan","https://www.youtube.com/watch?v=FcnlOiHhiE4","The US is planning to overthrow Erdogan","The US consistently prepares to destroy Turkey. The aim is at least to overthrow Erdoğan and maybe even to divide Turkey into several states.","Conspiracy theory, no evidence given. Being a NATO member, Turkey is a partner and an ally of the US.","",""
"82","09/29/17","Vremya pokazhet @Pervyi kanal","Russian","US","Pavel Spirin, former journalist","Russia Today (RT)","https://www.youtube.com/watch?v=p4wJvqKdRK4","The requirement to register RT as a foreign agent contradict the American principles of freedom of speech","All these requirements [the requirement to register RT as a foreign agent] contradict the American principles of freedom of speech.","The US doesn’t prohibit RT broadcasting in America, but requires this television company to: submit periodic
disclosures outlining its agreements with the foreign principal, disclose income from and expenditures on behalf the principal, and have 
business records of its activities available for inspection by the United States Department of Justice (DOJ). In addition, a foreign agent must ensure that all informational materials it distributes are conspicuously labelled and filed with the DOJ. http://www.atlanticcouncil.org/publications/reports/agent-of-influence-should-russia-s-rt-register-as-a-foreign-agent 
During the Cold War, representatives of Soviet news outlets (TASS, ‘Pravda’, ‘Izvestia’ and others) were registered agents,” ( http://www.newsweek.com/time-shine-light-putins-american-propaganda-arm-542642 ).

Further debunking: http://theins.ru/antifake/73201","",""
"82","09/29/17","Vremya pokazhet @Pervyi kanal, 20:28","Russian","US, Middle East","Pavel Spirin, former jornalist","Daesh","https://youtu.be/FcnlOiHhiE4?t=1226","The US is doing everything to prevent the elimination of Daesh","The main goal of the US in the Middle East is to prevent the complete elimination of Daesh, and they are going to great lengths to prevent it.","Recurring disinformation that the US is protecting or working together with ISIS/Daesh https://euvsdisinfo.eu/disinformation-cases/?text=Daesh&disinfo_issue=&date=.  The US is fighting against Daesh together with the Global Coalition against Daesh http://theglobalcoalition.org/en/home/. The US MoD outlines the latest progress on their website https://www.defense.gov/News/Article/Article/1322158/strikes-continue-in-effort-to-defeat-isis-in-syria-iraq/.","",""
"82","09/28/17","Vremya pokazhet @Pervyi kanal, 40:34","Russian","Ukraine","Pavel Spirin, former journalist","Kharkiv, Odessa, War in Ukraine, Donbas, Crimea","https://youtu.be/supnlJCjgYY?t=2434","Ukraine had a plan to ""clean up"" the population of Crimea, Kharkiv, Donbas and Odessa","The officials of Ukraine said bluntly that ‘now, we ""clean up"" Kharkiv, ""clean up"" Odessa, ""clean up"" Donbas and get on with Crimea. This plan was announced repeatedly on various levels. They ""cleaned up"" Kharkiv, ""cleaned up"" Odessa bloodily and brutally, then went on to  Donbas and came across the resistance there! Therefore the peace in Crimea was established because they got stuck in Donbas.","Conspiracy theory, no evidence given.","",""
"82","09/28/17","TV Zvezda","Russian","Ukraine, Syria","Stopfake","TV Zvezda, Daesh","https://tvzvezda.ru/news/vstrane_i_mire/content/201709282021-fleh.htm","Syrian military stormed a camp of Ukrainian ISIS fighters","The Syrian military found proof (cigarettes, flag and crossword) of Ukrainian nationals fighting for ISIS in Syria when storming a camp belonging to ISIS.","Recurring pro-Kremlin disinformation that Ukraine is somehow involved with or training ISIS fighters. As ""proof"" this time, Russian Ministry of Defence TV (recurring disinformation outlet https://euvsdisinfo.eu/dependent-media-russias-military-tv-zvezda/) is using a video which appears to be staged, where men dressed as soldiers speaking with a Syrian accent find Ukrainian cigarettes and a Ukrainian flag in what seems to be a rather luxurious building. At the end of the video the men randomly shoot out through the windows, without being shot at back. Further debunking at Stopfake.org https://www.stopfake.org/fejk-sirijskie-voennye-vzyali-shturmom-lager-ukrainskih-boevikov-ig/.","",""
"82","09/28/17","Vremya pokazhet @Pervyi kanal, 54:16","Russian","Ukraine","Pavel Spirin, former journalist","Genocide, War in Ukraine, Donbas","https://youtu.be/supnlJCjgYY?t=3256","Kyiv has developed a plan for a genocide of the population of Donbas","Nobody in Kiev wants to negotiate peacefully with the pro-Kremlin separatists of Donbas, instead they are going to conduct a genocide in Donetsk and Luhansk.","No evidence given, recurring disinformation. No evidence of genocide has been provided. The word genocide is frequently used in pro-Kremlin disinformation https://euvsdisinfo.eu/disinformation-cases/?text=genocide&disinfo_issue=&disinfo_language%5B%5D=rus&date=, but it seldom corresponds to the actual definition of a genocide http://www.un.org/en/genocideprevention/genocide.html","",""
"82","09/28/17","Vremya pokazhet @Pervyi kanal, 34:22","Russian","Russia, US","Pavel Spirin, former journalist","Morgan Freeman, Anti-Russian, Hybrid war, Turkey, Information war","https://youtu.be/vSTnkRWVgns?t=2062","The US has unofficially declared a war on Russia","Officially it is not announced. But in fact it's a war, considering Morgan Freeman's statements and the statements made by officials.","Recurring disinformation. The US has not declared a war to Russia. A chain of events has led to the deterioration of Russia's relationship with the United States. A turning point was the year 2014 when Russia illegally annexed Crimea from Ukraine and started to support the separatists in the East of Ukraine. Further debunk: https://www.polygraph.info/a/who-is-guilty-of-destroying-us-russia-realtions-fact-check/28735904.html","",""
"82","09/27/17","Georga and the world","Georgian","Ukraine, Lithuania","EEAS Tbilisi","Lisa case, LPR, NATO","http://geworld.ge/ge/%e1%83%a3%e1%83%99%e1%83%a0%e1%83%90%e1%83%98%e1%83%9c%e1%83%98%e1%83%a1-%e1%83%a1%e1%83%90%e1%83%9b%e1%83%ae%e1%83%94%e1%83%93%e1%83%a0%e1%83%9d-%e1%83%ab%e1%83%90%e1%83%9a%e1%83%94%e1%83%91%e1%83%98/","NATO military instructors who raped local girls were wounded by Ukrainian military forces","Military from Kiev beat NATO Lithuanian instructors on the occupied territory of Luhansk People's Republic, as these instructors had raped two minor girls from the village of Teploe. The official representative of the Luhansk People's Militia, Lieutenant Colonel Marochko said that the case was investigated by the military prosecutor's office. Soldiers of one of the subunits of the 14th Brigade of the Ukrainian Armed forces are the suspects.","As we reported last week the story about two girls raped by Lithuanian NATO instructors was fake. https://euvsdisinfo.eu/the-pro-kremlin-pulp-mill/. As explained in the debunk last week, all of the Lithuanian soldiers are deployed in the Central and Western parts of Ukraine and none is deployed in the south-east part of Ukraine. https://euvsdisinfo.eu/report/lithuanian-nato-instructor-raped-two-girls-in-donbas/.","",""
